,airport_code,airport_full_name
1214,WMH,Mountain Home Airport  Mountain Home
1215,MOU,Mountain Village Airport  Mountain Village
1216,MCL,Mt Mckinley Airport  Mt Mckinley
1217,MSD,Mt Pleasant Airport  Mt Pleasant
1218,MPO,Mt Pocono Airport  Mt Pocono
1219,MVN,Mt Vernon-Outland Airport  Mt Vernon
1220,CDV,Mudhole Smith Airport  Cordova
1221,MUI,Muir AAF Airport  Fort Indiantown
1222,MHN,Mullen Airport  Mullen
1223,ABR,Municipal Airport  Aberdeen
1224,ABI,Municipal Airport  Abilene
1225,AFO,Municipal Airport  Afton
1226,AIK,Municipal Airport  Aiken
1227,ALM,Municipal Airport  Alamogordo
1228,ALS,Municipal Airport  Alamosa
1229,AXS,Municipal Airport  Altus
1230,AHH,Municipal Airport  Amery
1231,AID,Municipal Airport  Anderson
1232,ARB,"Municipal Airport  Ann Arbor, MI"
1233,AAF,Municipal Airport  Apalachicola
1234,AHF,Municipal Airport  Arapahoe
1235,AIO,Municipal Airport  Atlantic
1236,AVO,Municipal Airport  Avon Park
1237,BVX,Municipal Airport  Batesville
1238,BBB,Municipal Airport  Benson
1239,HKA,Municipal Airport  Blytheville
1240,WBU,Municipal Airport  Boulder
1241,TTO,Municipal Airport  Britton
1242,BYG,Municipal Airport  Buffalo
1243,BUB,Municipal Airport  Burwell
1244,CAR,Municipal Airport  Caribou
1245,CGZ,Municipal Airport  Casa Grande
1246,GHM,Municipal Airport  Centerville
1247,ENL,Municipal Airport  Centralia
1248,CCY,Municipal Airport  Charles City
1249,CHK,Municipal Airport  Chickasha
1250,CNH,Municipal Airport  Claremont
1251,ICL,Municipal Airport  Clarinda
1252,CLK,Municipal Airport  Clinton
1253,CVN,Municipal Airport  Clovis
1254,CFV,Municipal Airport  Coffeyville
1255,CBK,Municipal Airport  Colby
1256,CUS,Municipal Airport  Columbus
1257,CBF,Municipal Airport  Council Bluffs
1258,CSQ,Municipal Airport  Creston
1259,CKN,Municipal Airport  Crookston
1260,CRT,Municipal Airport  Crossett
1261,CUH,Municipal Airport  Cushing
1262,DNN,Municipal Airport  Dalton
1263,DAN,Municipal Airport  Danville
1264,DEH,Municipal Airport  Decorah
1265,DNS,Municipal Airport  Denison
1266,DTL,Municipal Airport  Detroit Lakes
1267,DLG,Municipal Airport  Dillingham
1268,DBN,Municipal Airport  Dublin
1269,DBQ,Municipal Airport  Dubuque
1270,ETN,Municipal Airport  Eastland
1271,EDE,Municipal Airport  Edenton
1272,ELK,Municipal Airport  Elk City
1273,EKI,Municipal Airport  Elkhart
1274,ETS,Municipal Airport  Enterprise
1275,EST,Municipal Airport  Estherville
1276,FBY,Municipal Airport  Fairbury
1277,FFL,Municipal Airport  Fairfield
1278,FLX,Municipal Airport  Fallon
1279,FBL,Municipal Airport  Faribault
1280,FMN,Municipal Airport  Farmington
1281,FAY,Municipal Airport  Fayetteville
1282,FYM,Municipal Airport  Fayetteville
1283,FIL,Municipal Airport  Fillmore
1284,FXY,Municipal Airport  Forest City
1285,FCY,Municipal Airport  Forrest City
1286,FMS,Municipal Airport  Fort Madison
1287,FSK,Municipal Airport  Fort Scott
1288,FKN,Municipal Airport  Franklin
1289,FDR,Municipal Airport  Frederick
1290,FET,Municipal Airport  Fremont
1291,FRH,Municipal Airport  French Lick
1292,FUL,Municipal Airport  Fullerton
1293,GAD,Municipal Airport  Gadsden
1294,GLE,Municipal Airport  Gainesville
1295,GDM,Municipal Airport  Gardner
1296,GLW,Municipal Airport  Glasgow
1297,GVE,Municipal Airport  Gordonsville
1298,GTG,Municipal Airport  Grantsburg
1299,GRE,Municipal Airport  Greenville
1300,GCY,Municipal Airport  Greenville
1301,HNS,Municipal Airport  Haines
1302,HPT,Municipal Airport  Hampton
1303,HVS,Municipal Airport  Hartsville
1304,HYS,Municipal Airport  Hays
1305,HYR,Municipal Airport  Hayward
1306,HUS,Municipal Airport  Hughes
1307,HBO,Municipal Airport  Humboldt
1308,HNB,Municipal Airport  Huntingburg
1309,IDG,Municipal Airport  Ida Grove
1310,IRB,Municipal Airport  Iraan
1311,IJX,Municipal Airport  Jacksonville
1312,AFN,Municipal Airport  Jaffrey
1313,EFW,Municipal Airport  Jefferson
1314,JOT,Municipal Airport  Joliet
1315,KLG,Municipal Airport  Kalskag
1316,KNT,Municipal Airport  Kennett
1317,ILE,Municipal Airport  Killeen
1318,IRK,Municipal Airport  Kirksville
1319,KDK,Municipal Airport  Kodiak
1320,LSE,Municipal Airport  La Crosse
1321,LCI,Municipal Airport  Laconia
1322,LCH,Municipal Airport  Lake Charles
1323,XES,Municipal Airport  Lake Geneva
1324,HII,Municipal Airport  Lake Havasu City
1325,LAL,Municipal Airport  Lakeland
1326,LPO,Municipal Airport  Laporte
1327,LRU,"Municipal Airport  Las Cruces, NM"
1328,LWV,Municipal Airport  Lawrenceville
1329,LAW,Municipal Airport  Lawton
1330,LRJ,Municipal Airport  Lemars
1331,LWT,Municipal Airport  Lewistown
1332,LBL,Municipal Airport  Liberal
1333,LIC,Municipal Airport  Limon
1334,MQB,Municipal Airport  Macomb
1335,AGO,Municipal Airport  Magnolia
1336,MHK,Municipal Airport  Manhattan
1337,MXA,Municipal Airport  Manila
1338,MTW,Municipal Airport  Manitowoc
1339,MKT,Municipal Airport  Mankato
1340,MRF,Municipal Airport  Marfa
1341,MNN,Municipal Airport  Marion
1342,MIW,Municipal Airport  Marshalltown
1343,MFI,Municipal Airport  Marshfield
1344,RRL,Municipal Airport  Merrill
1345,MLS,Municipal Airport  Miles City
1346,MHE,Municipal Airport  Mitchell
1347,MOD,"Municipal Airport  Modesto, CA"
1348,MLU,Municipal Airport  Monroe
1349,MXO,Municipal Airport  Monticello
1350,MOX,Municipal Airport  Morris
1351,MMU,Municipal Airport  Morristown
1352,MOP,Municipal Airport  Mount Pleasant
1353,MPZ,Municipal Airport  Mt Pleasant
1354,ENN,Municipal Airport  Nenana
1355,RNH,Municipal Airport  New Richmond
1356,TNU,Municipal Airport  Newton
1357,OCE,Municipal Airport  Ocean City
1358,OCN,Municipal Airport  Oceanside
1359,OGD,Municipal Airport  Ogden
1360,OLE,Municipal Airport  Olean
1361,OMK,Municipal Airport  Omak
1362,ONL,Municipal Airport  Oneill
1363,ONH,Municipal Airport  Oneonta
1364,OGB,Municipal Airport  Orangeburg
1365,OEO,Municipal Airport  Osceola
1366,OOA,Municipal Airport  Oskaloosa
1367,PSP,Municipal Airport  Palm Springs
1368,PAQ,Municipal Airport  Palmer
1369,PGR,Municipal Airport  Paragould
1370,PRO,Municipal Airport  Perry
1371,PTB,Municipal Airport  Petersburg
1372,PTS,Municipal Airport  Pittsburg
1373,POH,Municipal Airport  Pocahontas
1374,PCD,Municipal Airport  Prairie Du Chien
1375,PQI,Municipal Airport  Presque Isle
1376,UIN,Municipal Airport  Quincy
1377,RKW,Municipal Airport  Rockwood
1378,RBG,Municipal Airport  Roseburg
1379,RUI,Municipal Airport  Ruidoso
1380,STC,Municipal Airport  Saint Cloud
1381,SGU,Municipal Airport  Saint George
1382,SDP,Municipal Airport  Sand Point
1383,SBA,"Municipal Airport  Santa Barbara, CA"
1384,SNL,Municipal Airport  Shawnee
1385,FHU,Municipal Airport  Sierra Vista
1386,SGY,Municipal Airport  Skagway
1387,SPW,Municipal Airport  Spencer
1388,SVH,Municipal Airport  Statesville
1389,SLB,Municipal Airport  Storm Lake
1390,SUM,Municipal Airport  Sumter
1391,TVI,Municipal Airport  Thomasville
1392,TOR,Municipal Airport  Torrington
1393,TOI,Municipal Airport  Troy
1394,TCS,Municipal Airport  Truth Or Consequences
1395,VDZ,Municipal Airport  Valdez
1396,VRB,Municipal Airport  Vero Beach
1397,VDI,Municipal Airport  Vidalia
1398,ACT,Municipal Airport  Waco
1399,RBW,Municipal Airport  Walterboro
1400,UKN,Municipal Airport  Waukon
1401,AUW,Municipal Airport  Wausau
1402,EBS,Municipal Airport  Webster City
1403,ELZ,Municipal Airport  Wellsville
1404,AWM,Municipal Airport  West Memphis
1405,BRG,Municipal Airport  Whitesburg
1406,WGO,Municipal Airport  Winchester
1407,ONA,Municipal Airport  Winona
1408,FYV,Municipal Airport  Fayetteville
1409,AUZ,Municipal Airport  Aurora
1410,FNL,Municipal Airport  Fort Collins/Loveland
1411,JMN,Municipal Heliport Airport  Mankato
1412,JRC,Municipal Heliport Airport  Rochester
1413,JSK,Municipal Heliport Airport  Saint Cloud
1414,MML,Municipal-Ryan Field Airport  Marshall
1415,FWA,Municipal/Baer Field Airport  Fort Wayne
1416,RDG,Municipal/Spaatz Fld Airport  Reading
1417,EKA,"Murray Field Airport  Eureka, CA"
1418,MUT,Muscatine Airport  Muscatine
1419,MKG,Muskegon Airport  Muskegon
1420,MUV,Mustin Alf Airport  Philadelphia
1421,MYR,Myrtle Beach Afb Airport  Myrtle Beach
1422,NEL,Naec Airport  Lakehurst
1423,DGN,NAF Airport  Dahlgren
1424,NNK,Naknek Airport  Naknek
1425,NOL,Nakolik River Airport  Nakolik River
1426,ACK,Nantucket Memorial Airport  Nantucket
1427,KEB,Nanwalek Airport  Nanwalek
1428,APC,Napa County Airport  Napa
1429,WNA,Napakiak SPB Airport  Napakiak
1430,APF,Naples Airport  Naples
1431,NGZ,NAS Airport  Alameda
1432,NHZ,NAS Airport  Brunswick
1433,NFL,NAS Airport  Fallon
1434,NBU,NAS Airport  Glenview
1435,NRS,NAS Airport  Imperial Beach
1436,NQI,NAS Airport  Kingsville
1437,NTU,NAS Airport  Oceana
1438,NGU,Nas Chambers Airport  Norfolk
1439,NBG,NAS/Alvin Callendar Airport  New Orleans
1440,BNA,"Nashville International Airport  Nashville, TN"
1441,RLA,National Airport  Rolla
1442,GCN,National Park Airport  Grand Canyon
1443,CPR,"Natrona County International Airport  Casper, WY"
1444,NKI,Naukiti Airport  Naukiti
1445,EED,Needles Airport  Needles
1446,AXV,Neil Armstrong Airport  Wapakoneta
1447,LSV,"Nellis AFB Airport  Las Vegas, NV"
1448,NLG,Nelson Lagoon Airport  Nelson Lagoon
1449,EOS,Neosho Airport  Neosho
1450,NPH,Nephi Airport  Nephi
1451,NVD,Nevada Airport  Nevada
1452,EWB,New Bedford Airport  New Bedford
1453,ZRZ,New Carrolton RR Airport  Washington
1454,JCI,"New Century Aircenter Airport  Olathe, KS"
1455,NCN,New Chenega Airport  New Chenega
1456,HVN,New Haven Airport  New Haven
1457,KGK,New Koliganek Airport  New Koliganek
1458,GON,New London Airport  New London
1459,PSK,New River Valley Airport  Dublin
1460,KNW,New Stuyahok Airport  New Stuyahok
1461,ULM,New Ulm Airport  New Ulm
1462,EWR,Newark Liberty International Airport  Newark
1463,ONP,Newport Airport  Newport
1464,EFK,Newport Airport  Newport
1465,PHF,Newport News/williamsb Airport  Newport News
1466,LWS,Nez Perce County Rgnl Airport  Lewiston
1467,IAG,Niagara Falls International Airport  Niagara Falls
1468,NIE,Niblack Airport  Niblack
1469,NKV,"Nichen Cove Airport  Nichen Cove, AK"
1470,NME,Nightmute Airport  Nightmute
1471,NIB,Nikolai Airport  Nikolai
1472,IKO,Nikolski AFS Airport  Nikolski
1473,NIN,Ninilchik Airport  Ninilchik
1474,WTK,Noatak Airport  Noatak
1475,ARV,Noble F. Lee Airport  Minocqua
1476,OLS,Nogales International Airport  Nogales
1477,OME,Nome Airport  Nome
1478,NNL,Nondalton Airport  Nondalton
1479,ORF,Norfolk International Airport  Norfolk
1480,VGT,North Air Terminal Airport  Las Vegas
1481,OTH,North Bend Airport  North Bend
1482,SFZ,"North Central Airport  Pawtucket, RI"
1483,WPO,North Fork Valley Airport  Paonia
1484,NZY,North Island Nas Airport  San Diego
1485,JNH,North Park Inn H/P Airport  Dallas
1486,HWO,North Perry Airport  Hollywood
1487,PNE,North Philadelphia Airport  Philadelphia
1488,NGC,North Rim Airport  Grand Canyon
1489,UMB,North Shore Airport  Umnak Island
1490,ORT,Northway Airport  Northway
1491,XNA,"Northwest Arkansas Regional Airport  Fayetteville, AR"
1492,SBD,Norton Afb Airport  San Bernardino
1493,NOT,Novato Airport  Novato
1494,NRB,Ns Airport  Mayport
1495,NUI,Nuiqsut Airport  Nuiqsut
1496,NUL,Nulato Airport  Nulato
1497,NUP,Nunapitchuk Airport  Nunapitchuk
1498,ZNC,Nyac Airport  Nyac
1499,ODW,Oak Harbor Airport  Oak Harbor
1500,OAK,Oakland International Airport  Oakland
1501,OBT,"Oakland/Coliseum Stat Airport  Oakland, MD"
1502,OCA,Ocean Reef Airport  Ocean Reef
1503,OCI,Oceanic Airport  Oceanic
1504,CEU,Oconee County Airport  Clemson
1505,XZU,Off line Point Airport  Rail
1506,OGS,Ogdensburg Airport  Ogdensburg
1507,HLG,Ohio County Airport  Wheeling
1508,OSU,Ohio State University Airport  Columbus
1509,ATO,Ohio University Airport  Athens
1510,OKM,Okmulgee Airport  Okmulgee
1511,OLH,Old Harbor SPB Airport  Old Harbor
1512,OLD,Old Town Airport  Old Town
1513,NEN,Olf Usn Airport  Whitehouse
1514,KOY,Olga Bay SPB Airport  Olga Bay
1515,OLV,Olive Branch Arpt Airport  Olive Branch
1516,ONY,Olney Airport  Olney
1517,OLY,Olney-Noble Airport  Olney
1518,OLM,Olympia Airport  Olympia
1519,OEA,Oneal Airport  Vincennes
1520,RHI,Oneida County Airport  Rhinelander
1521,UCA,Oneida County Airport  Utica
1522,ONN,Onion Bay Airport  Onion Bay
1523,ONT,Ontario International Airport  Ontario
1524,ONO,Ontario Municipal Airport  Ontario
1525,OPF,Opa Locka Airport  Miami
1526,MGJ,Orange County Airport  Montgomery
1527,ANA,Orange County Steel Salvage Heliport Airport  Anaheim
1528,ESD,Orcas Island Airport  Eastsound
1529,ORL,Orlando Executive Airport  Orlando
1530,MCO,Orlando International Airport  Orlando
1531,SFB,Orlando Sanford International Airport  Sanford
1532,OVE,Oroville Airport  Oroville
1533,OSB,Osage Beach Airport  Osage Beach
1534,OKS,Oshkosh Airport  Oshkosh
1535,FMH,Otis AFB Airport  Falmouth
1536,GLR,Otsego County Airport  Gaylord
1537,OTM,Ottumwa Industrial Airport  Ottumwa
1538,ATW,Outagamie County Airport  Appleton
1539,CKV,"Outlaw Field Airport  Clarksville, TN"
1540,KOZ,Ouzinkie SPB Airport  Ouzinkie
1541,OWA,Owatonna Airport  Owatonna
1542,CUB,Owens Field Airport  Columbia
1543,SZP,Oxnard Airport  Santa Paula
1544,OZA,Ozona Municipal Airport  Ozona
1545,PFC,"Pacific City State Airport  Pacific City, OH"
1546,PBK,Pack Creek Airport  Pack Creek
1547,PFA,Paf Warren Airport  Paf Warren
1548,PGA,Page Airport  Page
1549,FMY,Page Field Airport  Fort Myers
1550,PCE,Painter Creek Airport  Painter Creek
1551,PWK,Pal-Waukee Airport  Chicago
1552,PSX,Palacios Airport  Palacios
1553,PSN,"Palestine Municipal Airport  Palestine, TX"
1554,PHK,Palm Beach Co Glades Airport  Pahokee
1555,LNA,Palm Beach County Park Airport  West Palm Beach
1556,PBI,Palm Beach International Airport  West Palm Beach
1557,PAO,Palo Alto Airport  Palo Alto
1558,EAT,Pangborn Field Airport  Wenatchee
1559,PNU,Panguitch Airport  Panguitch
1560,ZRF,Park & Ride Bus Svc Airport  Rockford
1561,PKF,Park Falls Airport  Park Falls
1562,PKD,Park Rapids Airport  Park Rapids
1563,HLM,Park Township Airport  Holland
1564,WEA,Parker County Airport  Weatherford
1565,KPK,Parks SPB Airport  Parks
1566,NWH,Parlin Field Airport  Newport
1567,PRB,Paso Robles Airport  Paso Robles
1568,FFO,Patterson Afb Airport  Dayton
1569,NHK,"Patuxent River NAS Airport  Patuxent River, MD"
1570,KPH,Pauloff Harbor SPB Airport  Pauloff Harbor
1571,PJB,Payson Airport  Payson
1572,PGS,Peach Springs Airport  Peach Springs
1573,PCU,Pearl River County Airport  Picayune
1574,PSM,"Pease International Airport  Portsmouth, NH"
1575,CTO,Peconic River Airport  Calverton
1576,PEQ,Pecos City Airport  Pecos City
1577,FST,Pecos County Airport  Fort Stockton
1578,PDB,Pedro Bay Airport  Pedro Bay
1579,PEC,Pelican SPB Airport  Pelican
1580,PMB,Pembina Airport  Pembina
1581,PDT,Pendleton Airport  Pendleton
1582,SEG,Penn Valley Airport  Selinsgrove
1583,JPN,Pentagon Army Airport  Washington
1584,JAJ,Perimeter Mall Airport  Atlanta
1585,PPA,Perry Lefors Field Airport  Pampa
1586,PYL,Perry SPB Airport  Perry Island
1587,FPY,Perry-Foley Airport  Perry
1588,KPV,Perryville SPB Airport  Perryville
1589,PSG,"Petersburg James A Johnson Airport  Petersburg, AK"
1590,MPJ,Petit Jean Park Airport  Morrilton
1591,EAN,Phifer Field Airport  Wheatland
1592,PHL,Philadelphia International Airport  Philadelphia
1593,PHP,Philip Airport  Philip
1594,TOP,Philip Billard Airport  Topeka
1595,APG,Phillips AAF Airport  Aberdeen
1596,PII,Phillips Field Airport  Fairbanks
1597,DVT,Phoenix Deer Valley Airport  Phoenix
1598,LQK,Pickens Airport  Pickens
1599,GSO,"Piedmont Triad International Airport  Greensboro, NC"
1600,NWS,Pier 11/Wall St. SPB Airport  New York
1601,PIR,Pierre Airport  Pierre
1602,MCB,Pike County Airport  Mccomb
1603,PIP,Pilot Point Airport  Pilot Point
1604,PQS,Pilot Station Airport  Pilot Station
1605,DUF,"Pine Island Airport  Corolla, NC"
1606,XPR,Pine Ridge Airport  Pine Ridge
1607,SOP,Pinehurst-S. Pines Airport  Southern Pines
1608,PGV,Pitt-Greenville Airport  Greenville
1609,PIT,"Pittsburgh International Airport  Pittsburgh, PA"
1610,PSF,Pittsfield Airport  Pittsfield
1611,PVF,Placerville Airport  Placerville
1612,PTU,Platinum Airport  Platinum
1613,PBG,Plattsburgh International Airport  Plattsburgh
1614,PTR,Pleasant Harbour Airport  Pleasant Harbour
1615,PLY,Plymouth Airport  Plymouth
1616,PYM,Plymouth Airport  Plymouth
1617,PIH,Pocatello Airport  Pocatello
1618,KPB,Point Baker SPB Airport  Point Baker
1619,PBA,Point Barrow Airport  Barrow
1620,PHO,Point Hope Airport  Point Hope
1621,NTD,"Point Mugu NAS Airport  Port Hueneme, CA"
1622,PXL,Polacca Airport  Polacca
1623,POE,Polk AAF Airport  Fort Polk
1624,POQ,Polk Inlet Airport  Polk Inlet
1625,PPM,Pompano Beach Airport  Pompano Beach
1626,PNC,Ponca City Airport  Ponca City
1627,PTK,Pontiac Airport  Pontiac
1628,POB,"Pope AFB Airport  Fayetteville, NC"
1629,GFD,Pope Field Airport  Greenfield
1630,PVY,Pope Vanoy Airport  Pope Vanoy
1631,PCK,Porcupine Creek Airport  Porcupine Creek
1632,PTD,Port Alexander Airport  Port Alexander
1633,PTC,Port Alice Airport  Port Alice
1634,PAK,Port Allen Airport  Hanapepe
1635,PTA,Port Alsworth Airport  Port Alsworth
1636,PTL,Port Armstrong Airport  Port Armstrong
1637,KPY,Port Bailey SPB Airport  Port Bailey
1638,KPC,Port Clarence Airport  Port Clarence
1639,CMH,Port Columbus International Airport  Columbus
1640,PFD,Port Frederick Airport  Port Frederick
1641,PGM,Port Graham Airport  Port Graham
1642,PTH,Port Heiden Airport  Port Heiden
1643,PRF,Port Johnson Airport  Port Johnson
1644,KYL,Port Largo Airport  Key Largo
1645,ORI,Port Lions SPB Airport  Port Lions
1646,PRL,Port Oceanic Airport  Port Oceanic
1647,PPV,Port Protection Airport  Port Protection
1648,PJS,Port San Juan Airport  Port San Juan
1649,TWD,Port Townsend Airport  Port Townsend
1650,PWR,Port Walter Airport  Port Walter
1651,KPR,Port Williams SPB Airport  Port Williams
1652,PCA,Portage Creek Airport  Portage Creek
1653,VPZ,Porter County Airport  Valparaiso
1654,PTV,Porterville Airport  Porterville
1655,HIO,Portland Airport  Hillsboro
1656,PDX,"Portland International Airport  Portland, OR"
1657,PTW,Pottstown/Limerick Airport  Pottstown
1658,PUL,Poulsbo Airport  Poulsbo
1659,POY,Powell Airport  Powell
1660,PTT,Pratt Airport  Pratt
1661,PRW,Prentice Airport  Prentice
1662,PRC,Prescott Airport  Prescott
1663,LYH,Preston-Glenn Field Airport  Lynchburg
1664,PNN,Princeton Airport  Princeton
1665,PCT,Princeton Airport  Princeton
1666,BLF,Princeton Airport  Princeton
1667,HPV,Princeville Airport  Kauai Island
1668,PRZ,Prineville Airport  Prineville
1669,PPC,Prospect Creek Airport  Prospect Creek
1670,PVC,Provincetown Airport  Provincetown
1671,PVU,Provo Airport  Provo
1672,PUO,Prudhoe Bay Airport  Prudhoe Bay
1673,SCC,Prudhoe Bay/Deadhorse Airport  Prudhoe Bay/Deadhorse
1674,BCT,Public Airport  Boca Raton
1675,SMX,Public Airport  Santa Maria
1676,SME,Pulaski County Airport  Somerset
1677,FLG,Pulliam Field Airport  Grand Canyon
1678,PUW,Pullman-Moscow Regional Airport  Pullman
1679,LAF,Purdue University Airport  Lafayette
1680,MLI,Quad-City Airport  Moline
1681,NYG,Quantico Nas Airport  Quantico
1682,JLA,Quartz Creek Airport  Cooper Lodge
1683,RZH,Quartz Hill Airport  Lancaster
1684,UQE,Queen Airport  Queen
1685,UIL,Quillayute State Airport  Quillayute
1686,MQI,Quincy Airport  Quincy
1687,HSB,Raleigh Airport  Harrisburg
1688,RDU,"Raleigh-durham International Airport  Raleigh/Durham, NC"
1689,TAL,Ralph Calhoun Airport  Tanana
1690,RMP,Rampart Airport  Rampart
1691,RND,Randolph AFB Airport  San Antonio
1692,RNG,Rangely Airport  Rangely
1693,RGR,Ranger Municipal Airport  Ranger
1694,RSP,Raspberry Strait Airport  Raspberry Strait
1695,RWL,Rawlins Airport  Rawlins
1696,RBL,Red Bluff Fss Airport  Red Bluff
1697,RDV,Red Devil Airport  Red Devil
1698,RDB,Red Dog Airport  Red Dog
1699,RBD,Redbird Airport  Dallas
1700,RDD,Redding Airport  Redding
1701,RWF,Redwood Falls Muni Airport  Redwood Falls
1702,REE,Reese AFB Airport  Lubbock
1703,DAB,Regional Airport  Daytona Beach
1704,FAM,Regional Airport  Farmington
1705,FSM,Regional Airport  Fort Smith
1706,PNS,Regional Airport  Pensacola
1707,RAP,Regional Airport  Rapid City
1708,SHV,Regional Airport  Shreveport
1709,TVF,Regional Airport  Thief River Falls
1710,VLD,Regional Airport  Valdosta
1711,HIE,Regional Airport  Whitefield
1712,REH,Rehoboth Beach Airport  Rehoboth Beach
1713,RHV,Reid-hillview Airport  San Jose
1714,GLD,Renner Field Airport  Goodland
1715,RNO,"Reno-Tahoe International Airport  Reno, NV"
1716,RNZ,Rensselaer Airport  Rensselaer
1717,RNT,"Renton Airport  Renton, WA"
1718,EHT,Rentschler Airport  East Hartford
1719,MHS,Rep Airport  Mount Shasta
1720,FRG,Republic Field Airport  Farmingdale
1721,RIF,Reynolds Airport  Richfield
1722,JXN,Reynolds Municipal Airport  Jackson
1723,RIE,Rice Lake Airport  Rice Lake
1724,RMG,Richard B Russell Airport  Rome
1725,SUW,Richard I Bong Arpt Airport  Superior
1726,MSS,Richards Field Airport  Massena
1727,GVW,Richards-Gebaur Airport  Grandview
1728,RLD,Richland Airport  Richland
1729,SDY,Richland Municipal Airport  Sidney
1730,RIC,"Richmond International Airport  Richmond, VA"
1731,RID,"Richmond Municipal Airport  Richmond, IN"
1732,AMA,"Rick Husband Amarillo International Airport  Amarillo, TX"
1733,LCK,Rickenbacker Airport  Columbus
1734,BDF,Rinkenberger Airport  Bradford
1735,RIR,Riverside Fla-Bob Airport  Riverside
1736,RAL,Riverside Municipal Airport  Riverside
1737,RIW,"Riverton Regional Airport  Riverton, WY"
1738,ROA,Roanoke Regional Airport  Roanoke
1739,WVL,Robert Lafleur Airport  Waterville
1740,RKR,Robert S Kerr Airport  Poteau
1741,SYL,Roberts AAF Airport  San Miguel
1742,RDM,Roberts Field Airport  Redmond
1743,WRB,Robins AFB Airport  Macon
1744,RCE,Roche Harbor Airport  Roche Harbor
1745,RST,Rochester International Airport  Rochester
1746,JVL,Rock County Airport  Janesville
1747,RKH,Rock Hill Airport  Rock Hill
1748,RWI,Rocky Mount-wilson Airport  Rocky Mount
1749,ROG,Rogers Airport  Rogers
1750,MFR,Rogue Valley International - Medford Airport  Medford
1751,VIH,Rolla National Airport  Vichy
1752,RFK,Rollang Field Airport  Anguilla
1753,DCA,"Ronald Reagan Washington National Airport  Washington, DC"
1754,RFG,Rooke Field Airport  Refugio
1755,ROL,Roosevelt Airport  Roosevelt
1756,RSJ,Rosario SPB Airport  Rosario
1757,CRX,Roscoe Turner Airport  Corinth
1758,HTL,Roscommon County Airport  Houghton
1759,STJ,Rosecrans Memorial Airport  St Joseph
1760,BEH,Ross Field Airport  Benton Harbor
1761,ROW,Roswell Industrial Airport  Roswell
1762,RTD,Rotunda Airport  Rotunda
1763,RPX,Roundup Airport  Roundup
1764,RSX,Rouses Point Airport  Rouses Point
1765,RWB,Rowan Bay Airport  Rowan Bay
1766,SRW,Rowan County Airport  Salisbury
1767,MIF,Roy Hurd Memorial Airport  Monahans
1768,RBY,Ruby Airport  Ruby
1769,BYI,Rupert Airport  Rupert
1770,RSL,Russell Airport  Russell
1771,RSH,Russian SPB Airport  Russian Mission
1772,RSN,Ruston Airport  Ruston
1773,RUT,Rutland Airport  Rutland
1774,BTR,Ryan Airport  Baton Rouge
1775,HMT,Ryan Field Airport  Hemet
1776,SMF,"Sacramento International Airport  Sacramento, CA"
1777,MHR,"Sacramento Mather Airport  Sacramento, CA"
1778,SAD,Safford Airport  Safford
1779,SGW,Saginaw Bay Airport  Saginaw Bay
1780,SAG,Sagwon Airport  Sagwon
1781,KSM,Saint Marys Airport  Saint Marys
1782,SNP,Saint Paul Island Airport  Saint Paul Island
1783,SLT,Salida Airport  Salida
1784,SLN,Salina Airport  Salina
1785,SBO,Salina Airport  Salina
1786,SNS,Salinas Airport  Salinas
1787,SMN,Salmon Airport  Salmon
1788,SLC,"Salt Lake City International Airport  Salt Lake City, UT"
1789,BTF,Salt Lake Skypark Airport  Bountiful
1790,SAS,Salton City Airport  Salton City
1791,CTZ,Sampson County Airport  Clinton
1792,BRY,"Samuels Field Airport  Bardstown, KY"
1793,SAT,San Antonio International Airport  San Antonio
1794,SQL,San Carlos Airport  San Carlos
1795,SAN,San Diego International Airport  San Diego
1796,SFO,"San Francisco International Airport  San Francisco, CA"
1797,MXC,San Juan County Airport  Monticello
1798,WSJ,San Juan SPB Airport  San Juan
1799,SBP,San Luis County Regional Airport  San Luis Obispo
1800,JSG,San Rafael H/P Airport  San Rafael
1801,SHN,Sanderson Field Airport  Shelton
1802,SFM,Sanford Airport  Sanford
1803,SZN,Santa Cruz Island Airport  Santa Barbara
1804,SAF,Santa Fe Airport  Santa Fe
1805,SMO,Santa Monica Airport  Santa Monica
1806,SQA,Santa Ynez Airport  Santa Ynez
1807,SRQ,"Sarasota-Bradenton International Airport  Sarasota, FL"
1808,WSF,Sarichef Airport  Sarichef
1809,SAV,Savannah/Hilton Head Airport  Savannah
1810,SVA,Savoonga Airport  Savoonga
1811,MQT,Sawyer International Airport  Marquette
1812,SCH,"Schenectady County Airport  Schenectady, NY"
1813,SUC,Schloredt Airport  Sundance
1814,GLS,Scholes Field Airport  Galveston
1815,BFF,Scotts Bluff County Airport  Scottsbluff
1816,SCF,Scottsdale Municipal Airport  Phoenix
1817,BVD,Sea Port Airport  Beaver Inlet
1818,SYB,Seal Bay Airport  Seal Bay
1819,SRC,Searcy Airport  Searcy
1820,SWO,Searcy Fld Airport  Stillwater
1821,OGA,Searle Field Airport  Ogallala
1822,SEA,"Seattle-Tacoma International Airport  Seattle, WA"
1823,SEF,"Sebring Regional Airport  Sebring, Fl"
1824,DMO,Sedalia Airport  Sedalia
1825,SDX,Sedona Airport  Sedona
1826,WLK,Selawik Airport  Selawik
