,airport_code,airport_full_name
263,LGU,Cache Airport  Logan
264,CAD,Cadillac Airport  Cadillac
265,OZR,Cairns AAF Airport  Ozark
266,CIR,Cairo Airport  Cairo
267,CDW,"Caldwell Wright Airport  Caldwell, NJ"
268,CXL,Calexico International Airport  Calexico
269,CLR,Calipatria Airport  Calipatria
270,CWG,Callaway Gardens Airport  Callaway Gardens
271,LGC,Calloway Airport  La Grange
272,CEY,Calloway County Airport  Murray
273,JST,Cambria County Airport  Johnstown
274,CGE,Cambridge Airport  Cambridge
275,APH,Camp A P Hill Airport  Bowling Green
276,HOP,Campbell AAF Airport  Hopkinsville
277,GCC,Campbell County Airport  Gillette
278,CZZ,Campo Airport  Campo
279,CDL,Candle Airport  Candle
280,CVS,Cannon AFB Airport  Clovis
281,CNE,Canon City Airport  Canon City
282,CTK,Canton Airport  Canton
283,CNY,Canyonlands Field Airport  Moab
284,CGI,Cape Girardeau Airport  Cape Girardeau
285,LUR,Cape Lisburne Airport  Cape Lisburne
286,WWD,Cape May County Airport  Wildwood
287,EHM,Cape Newenham Airport  Cape Newenham
288,CZP,Cape Pole Airport  Cape Pole
289,CZF,Cape Romanzof Airport  Cape Romanzof
290,SPI,Capital Airport  Springfield
291,FFT,"Capital City Airport  Frankfort, KY"
292,HAR,Capital City Airport  Harrisburg
293,LAN,Capital City Airport  Lansing
294,PUC,Carbon County Airport  Price
295,SYN,Carleton Airport  Stanton
296,CNM,Carlsbad Airport  Carlsbad
297,CZT,Carrizo Springs Airport  Carrizo Springs
298,CIN,Carroll Airport  Carroll
299,CSN,Carson City Airport  Carson City
300,CZK,Cascade Locks/Stevens Airport  Cascade Locks
301,ATU,Casco Cove Airport  Attu Island
302,PVZ,Casement Airport  Painesville
303,MER,"Castle AFB Airport  Atwater, CA"
304,SPQ,Catalina SPB Airport  San Pedro
305,VQQ,Cecil Field Airport  Jacksonville
306,CDC,Cedar City Airport  Cedar City
307,CID,Cedar Rapids Airport  Cedar Rapids
308,JOC,Centerport Heliport Airport  Santa Ana
309,CEM,Central Airport  Central
310,BMI,"Central Illinois Regional Airport at Bloomington-Normal Airport  Bloomington/Normal, IL"
311,JVI,Central Jersey Regional Airport  Manville
312,OWK,Central Maine Airport of Norridgewock Airport  Norridgewock
313,CWA,Central Wisconsin Airport  Wausau
314,CLS,Centralia Airport  Chehalis
315,CEA,Cessna Aircraft Field Airport  Wichita
